名称,smiles,EO,PO,亲油亲水值HLB,CMC（临界胶束浓度）,表面张力（γcmc）,界面张力（IFT）,润湿性接触角θ,最小分子截面积Amin,最大表面过剩浓度Γmax,表面张力降低效率参数Pc20,文献或来源（如果可以）
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00805,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=1.00 E 2 A DEUTERIUM OXIDE; authors=MUKE KAPA; reference=66002; original CMC=8.05 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00551,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=5; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.51 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00733,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=3. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=7.33 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00663,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=5. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=6.63 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00633,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=6. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=6.33 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00555,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=9. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.55 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0055,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=9.27 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.50 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00554,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=15; additives=9.27 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.54 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00567,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=9.27 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.67 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00518,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=9.91 0 H ETHANOL; authors=WARD; reference=40004; original CMC=5.18 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00565,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=9.91 E 0 H ETHANOL; authors=WARD; reference=40004; original CMC=5.65 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.013,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=2.978E 1 H ETHANOL; authors=WARD; reference=40004; original CMC=1.30 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0104,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=2.978E 1 H ETHANOL; authors=WARD; reference=40004; original CMC=1.04 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00596,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.96 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01067,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.067X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01146,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=30; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.146X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00672,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=35; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=6.72 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00719,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=7.19 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01496,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.496X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00772,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=45; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=7.72 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01656,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=45; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.656x10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01831,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=50; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.831X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00875,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=3. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=8.75 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00842,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=6. E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=8.42 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00892,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=9. 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=8.92 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00896,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=9.27 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=8.96 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00928,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=1.0 E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=9.28 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0116,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=1.5 E1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.160X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01505,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=2.0 E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.505X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.02005,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=2.005X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0097,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=60; additives=9.27 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=9.70 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0217,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=60; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=2.170X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0031,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=70; additives=2. E-2 N K CL; authors=LANG; reference=51005; original CMC=3.1 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0024,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=70; additives=5. E-2 N K CL; authors=LANG; reference=51005; original CMC=2.4 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00505,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=7.42 E-3 N K2 S04; authors=GODD HARV; reference=53012; original CMC=5.05 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00395,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=1.50 E-2 N K2 S04; authors=GODD HARV; reference=53012; original CMC=3.95 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00345,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=2.16 E-2 N K2 S04; authors=GODD HARV; reference=53012; original CMC=3.45 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0025,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=3.60 E-2 N K2 S04; authors=GODD HARV; reference=53012; original CMC=2.50 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00235,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=4.53 E-2 N K2 S04; authors=GODD HARV; reference=53012; original CMC=2.35 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00535,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=1.00 E-2 N LI2 S04; authors=GODD HARV; reference=53012; original CMC=5.35 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0048,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=1.49 E-2 N LI2 S04; authors=GODD HARV; reference=53012; original CMC=4.80 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00365,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=2.74 E-2 N LI2 S04; authors=GODD HARV; reference=53012; original CMC=3.65 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0034,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=3.37 E-2 N LI2 S04; authors=GODD HARV; reference=53012; original CMC=3.40 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00295,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=40; additives=4.36 E-2 N LI2 S04; authors=GODD HARV; reference=53012; original CMC=2.95 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00228,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.22 E Q LAURYL ALCOHOL; authors=SCHI FOWK; reference=57014; original CMC=6.6 X10-2 D 2.28 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00263,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=55; additives=2.22 E 1 Q LAURYL ALCOHOL; authors=SCHI FOWK; reference=57014; original CMC=7.6 X10-2 D 2.63 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0015,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=70; additives=2.5 E-2 N MG CL2; authors=LANG; reference=51005; original CMC=1.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00125,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=70; additives=5. E-2 N MG CL2; authors=LANG; reference=51005; original CMC=1.25 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00082,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=70; additives=2.5 E-1 N MG CL2; authors=LANG; reference=51005; original CMC=8.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.001432,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=1. E-1 M NA BR; authors=HUIS; reference=64047; original CMC=4.13 X10-2 D 1.432X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00142,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=1. E-1 M NA BR; authors=HUIS; reference=64047; original CMC=4.1 X10-2 D 1.42 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.000797,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=3. E-1 M NA BR; authors=HUIS; reference=64047; original CMC=2.3 X10-2 D 7.97 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00138,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=17; additives=1.00 E-1 M NA CL; authors=KURI; reference=62009; original CMC=4.0 X10-2 D 1.38 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00513,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=1. E-2 M NA CL; authors=MATI PETH; reference=58020; original CMC=5.13 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00224,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=5. E-2 M NA CL; authors=HAYD TAYL; reference=60011; original CMC=2.24 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00141,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=1.0 E-1 M NA CL; authors=HAYD TAYL; reference=60011; original CMC=1.41 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00151,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=1.0 E-1 M NA CL; authors=MATI PETH; reference=58020; original CMC=1.51 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00072,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=2. E-1 M NA CL; authors=HARR; reference=59001; original CMC=7.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.000759,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=2.0 E-1 M NA CL; authors=MATI PETH; reference=58020; original CMC=7.59 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
