SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,20.0,0.0,7.8e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 156; name=NONYL BENZENE /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=8.6 E-1 M NA CL; authors=HSIA DUNN; reference=-56014; original CMC=7.8 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.00012,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=nan; authors=HSIA DUNN; reference=56014; original CMC=1.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.00012,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=8.6 E-1 H CL; authors=HSIA DUNN; reference=56014; original CMC=1.20 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.00015,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=3.1 EOM H CL; authors=HSIA DUNN; reference=56014; original CMC=1.50 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.00013,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=8.6 E-1 M H N03; authors=HSIA DUNN; reference=56014; original CMC=1.30 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.00029,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=3.1 EOM H N03; authors=HSIA DUNN; reference=56014; original CMC=2.90 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.0001,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA BR; authors=HSIA DUNN; reference=56014; original CMC=1.00 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,7.6e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA BR03; authors=HSIA DUNN; reference=56014; original CMC=7.6 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,8.4e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA CL; authors=HSIA DUNN; reference=56014; original CMC=8.4 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,5.1e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=8.6 E-1 M NA CL; authors=HSIA DUNN; reference=56014; original CMC=5.1 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,0.000108,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA I; authors=HSIA DUNN; reference=56014; original CMC=1.08 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,9.7e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA N03; authors=HSIA DUNN; reference=56014; original CMC=9.7 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,5.1e-05,,,,,,"PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 168; name=NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION; temperature=25; additives=5. E-1 M NA OH; authors=HSIA DUNN; reference=56014; original CMC=5.1 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets"
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.00114,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=nan; authors=NAKA KURI; reference=60006; original CMC=6.0 X10-2 D 1.14 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000762,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.50 E-2 Q N-DECANE; authors=NAKA KURI; reference=60006; original CMC=4.0 X10-2 D 7.62 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.00108,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.32 E 0 Q N-DECANE; authors=NAKA KURI; reference=60006; original CMC=5.7 X10-2 D 1.08 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.00102,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=2.33 E 0 N-DECANE; authors=NAKA KURI; reference=60006; original CMC=5.4 X10-2 D 1.02 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.00099,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=3.16 E 0 N-DECANE; authors=NAKA KURI; reference=60006; original CMC=5.2 X10-2 D 9.90 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000971,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=3.78 E 0 N-DECANE; authors=NAKA KURI; reference=60006; original CMC=5.1 X10-2 D 9.71 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000914,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=4.93 E 0 N-DECANE; authors=NAKA KURI; reference=60006; original CMC=4.8 X10-2 D 9.14 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000762,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.20 E 1 N-DECANE; authors=NAKA KURI; reference=60006; original CMC=4.0 X10-2 D 7.62 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.00099,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=3.40 E 0 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=5.2 X10-2 D 9.90 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000857,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=6.19 E 0 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=4.5 X10-2 D 8.57 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000762,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=8.50 E 0 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=4.0 X10-2 D 7.62 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000628,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.142E 1 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=3.3 X10-2 D 6.28 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.000381,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 201; name=DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.661E 1 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=2.0 X10-2 D 3.81 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.00144,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=nan; authors=NAKA KURI; reference=60006; original CMC=9.5 X10-2 D 1.44 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.0014,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.40 E 0 Q N-DECANE; authors=NAKA KURI; reference=60006; original CMC=9.2 X10-2 D 1.40 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.00136,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=2.58 E 0 Q N-DECANE; authors=NAKA KURI; reference=60006; original CMC=9.0 X10-2 D 1.36 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.00133,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=3.31 E 0 Q N-DECANE; authors=NAKA KURI; reference=60006; original CMC=8.8 X10-2 D 1.33 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.00127,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=5.67 E 0 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=8.4 X10-2 D 1.27 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.00114,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.018E 1 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=7.5 X10-2 D 1.14 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,nonionic,11.0,0.0,0.000958,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 202; name=DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.712E 1 Q DECANOL-1; authors=NAKA KURI; reference=60006; original CMC=6.3 X10-2 D 9.58 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.002425,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=09.7; additives=nan; authors=KURI; reference=62009; original CMC=1.70 X10-1 D 2.425X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.001569,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=29; additives=nan; authors=KURI; reference=62009; original CMC=1.10 X10-1 D 1.569x10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.001497,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=nan; authors=KURI; reference=62009; original CMC=1.05 X10-1 D 1.497X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.00116,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=45; additives=nan; authors=KURI; reference=62009; original CMC=8.2 X10-2 D 1.16 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.00111,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=50.7; additives=nan; authors=KURI; reference=62009; original CMC=7.8 X10-2 D 1.11 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.00111,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=50; additives=nan; authors=KURI; reference=62009; original CMC=7.8 X10-2 D 1.11 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.000998,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=58.5; additives=nan; authors=KURI; reference=62009; original CMC=7.0 X10-2 D 9.98 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.000884,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=69.7; additives=nan; authors=KURI; reference=62009; original CMC=6.2 X10-2 D 8.84 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.000855,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=73.4; additives=nan; authors=KURI; reference=62009; original CMC=6.0 X10-2 D 8.55 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.000855,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=75; additives=nan; authors=KURI; reference=62009; original CMC=6.0 X10-2 D 8.55 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.002353,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=09.6; additives=1.86 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=1.65 X10-1 D 2.353x10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.002325,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=10; additives=2.6 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=1.63 X10-1 D 2.325X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.001497,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=1.86 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=1.05 X10-1 D 1.497x10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.001455,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=30; additives=4.4 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=1.02 X10-1 D 1.455X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.00111,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=50; additives=1.86 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=7.8 X10-2 D 1.11 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,nonionic,12.0,0.0,0.000998,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 204; name=DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS; temperature=50; additives=8.7 E 0 Q N-DECANE; authors=KURI; reference=62009; original CMC=7.0 X10-2 D 9.98 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
