Compound No.,Mol. Wgt.,Name,IUPAC,SMILES,Lookup wgt.,Method
140,320.4,SODIUM DECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,sodium;4-decylbenzenesulfonate,CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],320.4,LLM initial name and weight
141,362.4,SODIUM TRIDECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,sodium;4-tridecylbenzenesulfonate,CCCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],362.5,LLM initial name and weight
142,390.5,SODIUM PENTADECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,sodium;2-pentadecylbenzenesulfonate,CCCCCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],390.6,LLM initial name and weight
143,378.6,"DECYL /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCO,378.5,LLM initial name and weight
144,598.9,"DECYL /OXYETHYLENE/ 10.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION","dodecanoic acid;2-ethylhexanoic acid;2-[[3-hydroxy-2,2-bis(hydroxymethyl)propoxy]methyl]-2-(hydroxymethyl)propane-1,3-diol",CCCCCCCCCCCC(=O)O.CCCCC(CC)C(=O)O.C(C(CO)(CO)COCC(CO)(CO)CO)O,598.8,LLM initial name and weight
145,814.8,"DECYL /OXYETHYLENE/ 14.9 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
146,1039.5,"DECYL /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
147,1453.6,"DECYL /OXYETHYLENE/ 29.4 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
148,429.5,"TRIDECYL /OXYETHYLENE/ 5.2 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
149,645.4,"TRIDECYL /OXYETHYLENE/ 10.1 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
150,870.1,"TRIDECYL /OXYETHYLENE/ 15.2 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
151,1081.6,"TRIDECYL /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
152,1548.6,"TRIDECYL /OXYETHYLENE/ 30.6 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
153,440.6,"NONYL BENZENE /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION","2,3-diacetyloxypropyl (Z)-octadec-9-enoate",CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C,440.6,LLM initial name and weight
154,652.1,NONYL BENZENE /OXYETHYLENE/ 9.8 ALCOHOL BRANCHED CHAIN. NATURAL 0E DISTRIBUTION,N/A,N/A,0,Unknown
155,898.9,"NONYL BENZENE /OXYETHYLENE/ 15.4 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
156,1101.5,"NONYL BENZENE /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1101.4,LLM initial name and weight
157,1551,"NONYL BENZENE /OXYETHYLENE/ 30.2 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
158,482.7,"DODECYL BENZENE /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",octadecyl (2Z)-2-[5-(acetyloxymethyl)-5-(hydroxymethyl)oxolan-3-ylidene]acetate,CCCCCCCCCCCCCCCCCCOC(=O)C=C1CC(OC1)(CO)COC(=O)C,482.7,LLM initial name and weight
159,711.8,"DODECYL BENZENE /OXYETHYLENE/ 10.2 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
160,927.7,"DODECYL BENZENE /OXYETHYLENE/ 15.1 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
161,1148,DODECYL BENZENE /OXYETHYLENE/ 20.1 ALCOHOL BRANCHED CHAIN. NATURAL 0E DISTRIBUTION,N/A,N/A,0,Unknown
162,1610.7,"DODECYL BENZENE /OXYETHYLENE/ 30.6 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
163,538.8,DODECYL /OXYETHYLENE/ 8 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,538.8,LLM initial name and weight
164,715,DODECYL /OXYETHYLENE/ 12 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,715,LLM initial name and weight
165,979.4,DODECYL /OXYETHYLENE/ 18 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,979.3,LLM initial name and weight
166,1199.7,DODECYL /OXYETHYLENE/ 23 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
167,660.9,"NONYL BENZENE /OXYETHYLENE/ 10 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,660.9,Found by mass lookup
168,881.2,"NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,881.1,Found by mass lookup
169,1542.1,"NONYL BENZENE /OXYETHYLENE/ 30 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
170,1420,DODECYL /OXYETHYLENE/ 28 ALCOHOL REDUCED DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
171,348.4,SODIUM 2-N-DODECYL BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
172,292.3,SODIUM 2-N-OCTYL BENZENE SULFONATE,sodium;4-octylbenzenesulfonate,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],292.37,LLM initial name and weight
173,320.4,SODIUM 2-N-DECYL BENZENE SULFONATE,sodium;4-decylbenzenesulfonate,CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],320.4,LLM initial name and weight
174,376.5,SODIUM 2-N-TETRADECYL BENZENE SULFONATE,sodium;4-tetradecylbenzenesulfonate,CCCCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],376.5,LLM initial name and weight
175,272.3,SODIUM DODECANE 2-SULFONATE,sodium;dodecane-1-sulfonate,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],272.38,LLM initial name and weight
176,300.4,SODIUM TETRADECANE 2-SULFONATE,sodium;tetradecane-1-sulfonate,CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],300.44,LLM initial name and weight
177,328.4,SODIUM HEXADECANE 2-SULFONATE,sodium;hexadecane-1-sulfonate,CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],328.5,LLM initial name and weight
178,356.5,SODIUM OCTADECANE 2-SULFONATE,sodium;octadecane-1-sulfonate,CCCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],356.5,LLM initial name and weight
179,272.3,SODIUM DODECANE 1-SULFONATE,sodium;dodecane-1-sulfonate,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],272.38,LLM initial name and weight
181,216.2,SODIUM OCTYL 1-SULFONATE,sodium;octane-1-sulfonate,CCCCCCCCS(=O)(=O)[O-].[Na+],216.28,LLM initial name and weight
182,244.3,SODIUM DECYL 1-SULFONATE,sodium;decane-1-sulfonate,CCCCCCCCCCS(=O)(=O)[O-].[Na+],244.33,LLM initial name and weight
183,300.4,SODIUM TETRADECYL 1-SULFONATE,sodium;tetradecane-1-sulfonate,CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],300.44,LLM initial name and weight
184,328.4,SODIUM HEXADECYL 1-SULFONATE,sodium;hexadecane-1-sulfonate,CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],328.5,LLM initial name and weight
185,294.5,POTASSIUM HEXADECANOATE,potassium;hexadecanoate,CCCCCCCCCCCCCCCC(=O)[O-].[K+],294.51,LLM initial name and weight
186,277.9,HEXADECYL AMMONIUM CHLORIDE,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],277.9,LLM initial name and weight
187,306,OCTADECYL AMMONIUM CHLORIDE,dimethyl(dioctyl)azanium;chloride,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],306,LLM initial name and weight
188,154.2,POTASSIUM HEXANOATE,potassium;hexanoate,CCCCCC(=O)[O-].[K+],154.25,LLM initial name and weight
189,308.4,ALPHA SULFOMYRISTIC ACID,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-octylsulfanyloxane-3,4,5-triol",CCCCCCCCSC1C(C(C(C(O1)CO)O)O)O,308.44,LLM initial name and weight
190,336.4,ALPHA SULFOPALMITIC ACID,2-sulfohexadecanoic acid,CCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,336.5,LLM initial name and weight
191,364.5,ALPHA SULFOSTEARIC ACID,12-hydroxy-8-methylsulfonylheptadecanoic acid,CCCCCC(CCCC(CCCCCCC(=O)O)S(=O)(=O)C)O,364.5,LLM initial name and weight
192,386.5,SODIUM ETHYL ALPHA SULFOPALMITATE,sodium;18-hydroxy-18-oxooctadecane-1-sulfonate,C(CCCCCCCCC(=O)O)CCCCCCCCS(=O)(=O)[O-].[Na+],386.5,LLM initial name and weight
193,400.5,SODIUM PROPYL ALPHA SULFOPALMITATE,sodium;1-methoxy-1-oxooctadecane-2-sulfonate,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],400.6,LLM initial name and weight
194,400.5,SODIUM METHYL ALPHA SULFOSTEARATE,sodium;1-methoxy-1-oxooctadecane-2-sulfonate,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],400.6,LLM initial name and weight
195,414.5,SODIUM ETHYL ALPHA SULFOSTEARATE,sodium;2-octadecoxy-2-oxoethanesulfonate,CCCCCCCCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],414.6,LLM initial name and weight
196,428.6,SODIUM PROPYL ALPHA SULFOSTEARATE,sodium;1-oxo-1-propoxyoctadecane-9-sulfonate,CCCCCCCCCC(CCCCCCCC(=O)OCCC)S(=O)(=O)[O-].[Na+],428.6,LLM initial name and weight
197,488.5,DISODIUM 2 SULFOETHYL ALPHA SULFOPALMITATE,N/A,N/A,0,Unknown
198,516.5,DISODIUM 2 SULFOETHYL ALPHA SULFOSTEARATE,N/A,N/A,0,Unknown
199,428.6,SODIUM ISOPROPYL ALPHA SULFOSTEARATE,sodium;1-oxo-1-propoxyoctadecane-9-sulfonate,CCCCCCCCCC(CCCCCCCC(=O)OCCC)S(=O)(=O)[O-].[Na+],428.6,LLM initial name and weight
200,250.3,DODECYL SULFONIC ACID,dodecane-1-sulfonic acid,CCCCCCCCCCCCS(=O)(=O)O,250.4,LLM initial name and weight
201,524.8,DECYL /OXYETHYLENE/8 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-(2-undecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,524.7,Found by mass lookup
202,657,DECYL /OXYETHYLENE/11 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,"ethane;2,3,4-triethoxy-6-(ethoxymethyl)-5-[3,4,5-triethoxy-6-(ethoxymethyl)oxan-2-yl]oxyoxane",CC.CC.CC.CCOCC1C(C(C(C(O1)OC2C(OC(C(C2OCC)OCC)OCC)COCC)OCC)OCC)OCC,656.9,Found by mass lookup
203,235.8,DECYL TRIMETHYL AMMONIUM CHLORIDE,tributyl(methyl)azanium;chloride,CCCC[N+](C)(CCCC)CCCC.[Cl-],235.84,LLM initial name and weight
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,"2-(2-butoxyethoxy)ethanol;3-(2-butoxyethoxymethyl)-2,4-bis(2-hexoxyethoxy)pentane-1,3,5-triol",CCCCCCOCCOC(CO)C(COCCOCCCC)(C(CO)OCCOCCCCCC)O.CCCCOCCOCCO,701,Found by mass lookup
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,N/A,N/A,0,Unknown
206,624,TRITON X-100 (P-T-OCTYL BENZENE/OXYETHYLENE/9 NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
207,250.4,P-T-OCTYL BENZENE /OXYETHYLENE/ ALCOHOL HOMOGENEOUS HEAD GROUP,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,250.38,LLM initial name and weight
208,2944,P-T-OCTYL BENZENE /OXYETHYLENE/2 ALCOHOL HOMOGENEOUS HEAD GROUP,N/A,N/A,0,Unknown
209,338.5,OCTYL BENZENE /OXYETHYLENE/3 ALCOHOL HOMOGENEOUS HEAD GROUP,"(1S,2S,5R,6R,7R,10S,12R,13R)-6,13-bis(hydroxymethyl)-2,6-dimethyltetracyclo[10.3.1.01,10.02,7]hexadecane-5,13-diol",CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,338.5,LLM initial name and weight
210,382.5,P-T-OCTYL BENZENE /OXYETHYLENE/4 ALCOHOL HOMOGENEOUS HEAD GROUP,"methyl 7-[(1R,2R,3R)-3-hydroxy-2-[(E)-4-hydroxy-4-methyloct-1-enyl]-5-oxocyclopentyl]heptanoate",CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,382.5,LLM initial name and weight
211,426.6,"P-T-OCTYL BENZENE /OXYETHYLENE/5 ALCOHOL HOMOGENEOUS, HEAD GROUP","2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO,426.6,LLM initial name and weight
212,470.7,P-T-OCTYL BENZENE /OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,"4-[2-hydroxy-6-[5-(1,4,5-trihydroxyundecyl)oxolan-2-yl]hexyl]-2-methyl-2H-furan-5-one",CCCCCCC(C(CCC(C1CCC(O1)CCCCC(CC2=CC(OC2=O)C)O)O)O)O,470.6,LLM initial name and weight
213,514.7,P-T-OCTYL BENZENE /OXYETHYLENE/7 ALCOHOL HOMOGENEOUS HEAD GROUP,"trihexyl 2-butanoyloxypropane-1,2,3-tricarboxylate",CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC,514.7,LLM initial name and weight
214,558.8,P-T-OCTYL BENZENE /OXYETHYLENE/8 ALCOHOL HOMOGENEOUS!HEA GROUP,2-[2-[2-[2-[2-[2-[2-[2-(4-octylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,558.7,LLM initial name and weight
215,602.8,P-T-OCTYL BENZENE /OXYETHYLENE/9 ALCOHOL HOMOGENEOUS HEAD GROUP,"2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,602.8,LLM initial name and weight
216,646.9,P-T-OCTYL BENZENE /OXYETHYLENE/10 ALCOHOL HOMOGENEOUS HEAD GROUP,"2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,646.8,LLM initial name and weight
217,250.4,P-T-OCTYL BENZENE /OXYETHYLENE/1 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,250.38,LLM initial name and weight
218,294.4,P-T-OCTYL BENZENE /OXYETHYLENE/2 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,294.4,LLM initial name and weight
219,338.5,P-T-OCTYL BENZENE /OXYETHYLENE/3 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"(1S,2S,5R,6R,7R,10S,12R,13R)-6,13-bis(hydroxymethyl)-2,6-dimethyltetracyclo[10.3.1.01,10.02,7]hexadecane-5,13-diol",CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,338.5,LLM initial name and weight
220,382.5,P-T-OCTYL BENZENE /OXYETHYLENE/4 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"methyl 7-[(1R,2R,3R)-3-hydroxy-2-[(E)-4-hydroxy-4-methyloct-1-enyl]-5-oxocyclopentyl]heptanoate",CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,382.5,LLM initial name and weight
221,426.6,P-T-OCTYL BENZENE /OXYETHYLENE/5 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO,426.6,LLM initial name and weight
222,470.7,P-T-OCTYL BENZENE /OXYETHYLENE/6 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"4-[2-hydroxy-6-[5-(1,4,5-trihydroxyundecyl)oxolan-2-yl]hexyl]-2-methyl-2H-furan-5-one",CCCCCCC(C(CCC(C1CCC(O1)CCCCC(CC2=CC(OC2=O)C)O)O)O)O,470.6,LLM initial name and weight
223,514.7,P-T-OCTYL BENZENE /OXYETHYLENE/7 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"trihexyl 2-butanoyloxypropane-1,2,3-tricarboxylate",CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC,514.7,LLM initial name and weight
224,558.8,P-T-OCTYL BENZENE /OXYETHYLENE/8 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-(4-octylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,558.7,LLM initial name and weight
225,602.8,P-T-OCTYL BENZENE /OXYETHYLENE/9 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,602.8,LLM initial name and weight
226,646.9,P-T-OCTYL BENZENE /OXYETHYLENE/10 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,646.8,LLM initial name and weight
227,911.3,P-T-OCTYL BENZENE /OXYETHYLENE/16 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,"2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,911.2,LLM initial name and weight
228,1968.7,P-T-OCTYL BENZENE /OXYETHYLENE/40 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,N/A,N/A,0,Unknown
229,286.3,SODIUM TRIDECANE 1-SULFONATE,sodium;tridecane-1-sulfonate,CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],286.41,LLM initial name and weight
230,314.4,SODIUM PENTADECANE 1-SULFONATE,sodium;pentadecane-1-sulfonate,CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],314.5,LLM initial name and weight
231,342.5,SODIUM HEPTADECANE 1-SULFONATE,"sodium;3,9-diethyltridecane-6-sulfonate",CCCCC(CC)CCC(CCC(CC)CC)S(=O)(=O)[O-].[Na+],342.5,LLM initial name and weight
232,334.5,OCTADECANE 1-SULFONIC ACID,2-hexadecylsulfonylethanol,CCCCCCCCCCCCCCCCS(=O)(=O)CCO,334.6,LLM initial name and weight
233,352.3,DISODIUM ALPHA SULFO MYRISTATE,disodium;2-sulfonatotetradecanoate,CCCCCCCCCCCCC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],352.4,Found by mass lookup
234,380.4,DISODIUM ALPHA SULFO PALMITATE,disodium;2-sulfonatohexadecanoate,CCCCCCCCCCCCCCC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],380.5,Found by mass lookup
235,302.3,SODIUM ALPHA SULFO LAURIC ACID,sodium;1-hydroxy-3-oxododecane-1-sulfonate,CCCCCCCCCC(=O)CC(O)S(=O)(=O)[O-].[Na+],302.36,LLM initial name and weight
236,330.4,SODIUM ALPHA SULFO MYRISTIC ACID,sodium;2-dodecoxy-2-oxoethanesulfonate,CCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],330.42,LLM initial name and weight
237,358.4,SODIUM ALPHA SULFO PALMITIC ACID,sodium;2-tetradecanoyloxyethanesulfonate,CCCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],358.5,LLM initial name and weight
238,288.3,SODIUM DODECANE 1-HYDROXY 2-SULFONATE,sodium;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.38,LLM initial name and weight
239,316.4,SODIUM TETRADECANE 1-HYDROXY 2-SULFONATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
240,344.4,SODIUM HEXADECANE 1-HYDROXY 2-SULFONATE,sodium;hexadecyl sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],344.5,LLM initial name and weight
241,372.5,SODIUM OCTADECANE 1-HYDROXY 2-SULFONATE,sodium;octadecyl sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
242,264.4,TRIDECANE 1-SULFONIC ACID,dodecyl methanesulfonate,CCCCCCCCCCCCOS(=O)(=O)C,264.43,LLM initial name and weight
243,278.4,TETRADECANE 1-SULFONIC ACID,tetradecane-7-sulfonic acid,CCCCCCCC(CCCCCC)S(=O)(=O)O,278.45,LLM initial name and weight
244,292.4,PENTADECANE 1-SULFONIC ACID,tetradecyl methanesulfonate,CCCCCCCCCCCCCCOS(=O)(=O)C,292.5,LLM initial name and weight
245,306.5,HEXADECANE 1-SULFONIC ACID,hexadecane-1-sulfonic acid,CCCCCCCCCCCCCCCCS(=O)(=O)O,306.5,LLM initial name and weight
246,320.5,HEPTADECANE 1-SULFONIC ACID,hexadecyl methanesulfonate,CCCCCCCCCCCCCCCCOS(=O)(=O)C,320.5,LLM initial name and weight
247,266.3,DODECANE 1-HYDROXY 2-SULFONIC ACID,dodecyl hydrogen sulfate,CCCCCCCCCCCCOS(=O)(=O)O,266.4,LLM initial name and weight
248,294.4,TETRADECANE 1-HYDROXY 2-SULFONIC ACID,tetradecyl hydrogen sulfate,CCCCCCCCCCCCCCOS(=O)(=O)O,294.45,LLM initial name and weight
